Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 64,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2020,
        "test_year": 2021,
        "window": 64,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 41, train_loss 0.001230, train_ic 0.010539, train_icir 0.137620, train_ric -0.006435, train_ricir -0.061673, train_mae 0.016638, train_rmse 0.024684, train_mape 141.895508, train_acc 0.713565, valid_loss 0.0020472968, valid_ic -0.003810, valid_icir -0.139751, valid_ric -0.003243, valid_ricir -0.038380, valid_prec@10 0.621811, valid_prec@30 0.594513, valid_mae 0.029606, valid_rmse 0.052690, valid_mape 273.040375, valid_acc 0.221228, test_loss 0.003216, ic 0.002036, icir 0.040877, ric -0.009018, ricir -0.105199, prec@10 0.541975, prec@30 0.552675, test_mae 0.025591, test_rmse 0.054749, test_mape 371.908417, test_acc 0.376059
Epoch 42, train_loss 0.001239, train_ic 0.030488, train_icir 0.489281, train_ric 0.022400, train_ricir 0.262196, train_mae 0.015032, train_rmse 0.022891, train_mape 194.368561, train_acc 0.383115, valid_loss 0.0019054530, valid_ic 0.002407, valid_icir 0.086268, valid_ric 0.012788, valid_ricir 0.165283, valid_prec@10 0.535802, valid_prec@30 0.537449, valid_mae 0.026497, valid_rmse 0.050748, valid_mape 227.969986, valid_acc 0.244594, test_loss 0.003086, ic 0.004253, icir 0.078259, ric 0.006915, ricir 0.103323, prec@10 0.503704, prec@30 0.504938, test_mae 0.023389, test_rmse 0.053439, test_mape 327.684021, test_acc 0.372492
Epoch 43, train_loss 0.001220, train_ic 0.038552, train_icir 0.438600, train_ric 0.028422, train_ricir 0.237469, train_mae 0.020530, train_rmse 0.029798, train_mape 137.949509, train_acc 0.490945, valid_loss 0.0022813083, valid_ic 0.016440, valid_icir 0.414604, valid_ric 0.020537, valid_ricir 0.197270, valid_prec@10 0.544033, valid_prec@30 0.540604, valid_mae 0.024746, valid_rmse 0.050670, valid_mape 212.490417, valid_acc 0.460353, test_loss 0.003263, ic 0.007905, icir 0.158593, ric 0.001543, ricir 0.016734, prec@10 0.515638, prec@30 0.510014, test_mae 0.022490, test_rmse 0.052751, test_mape 289.685120, test_acc 0.419082
Epoch 44, train_loss 0.001218, train_ic 0.014262, train_icir 0.218995, train_ric 0.028075, train_ricir 0.347255, train_mae 0.025974, train_rmse 0.037879, train_mape 129.705505, train_acc 0.449370, valid_loss 0.0018437943, valid_ic -0.004069, valid_icir -0.108557, valid_ric 0.009865, valid_ricir 0.141447, valid_prec@10 0.503292, valid_prec@30 0.502469, valid_mae 0.022449, valid_rmse 0.048237, valid_mape 187.576279, valid_acc 0.549590, test_loss 0.002968, ic 0.003019, icir 0.049894, ric 0.016464, ricir 0.236012, prec@10 0.508642, prec@30 0.521536, test_mae 0.021079, test_rmse 0.051534, test_mape 273.095764, test_acc 0.500892
Epoch 45, train_loss 0.001228, train_ic 0.030566, train_icir 0.397843, train_ric 0.043865, train_ricir 0.423358, train_mae 0.022617, train_rmse 0.030529, train_mape 127.402962, train_acc 0.290240, valid_loss 0.0018013030, valid_ic -0.001354, valid_icir -0.035807, valid_ric 0.018473, valid_ricir 0.188466, valid_prec@10 0.536626, valid_prec@30 0.538957, valid_mae 0.021146, valid_rmse 0.047311, valid_mape 172.094986, valid_acc 0.646284, test_loss 0.002916, ic 0.005279, icir 0.082473, ric 0.030607, ricir 0.298968, prec@10 0.513992, prec@30 0.530864, test_mae 0.020352, test_rmse 0.050894, test_mape 259.664032, test_acc 0.563754
Epoch 46, train_loss 0.001228, train_ic 0.035434, train_icir 0.477238, train_ric 0.004861, train_ricir 0.054332, train_mae 0.015710, train_rmse 0.022915, train_mape 244.241043, train_acc 0.265695, valid_loss 0.0018559191, valid_ic 0.006868, valid_icir 0.184083, valid_ric -0.002620, valid_ricir -0.043133, valid_prec@10 0.580658, valid_prec@30 0.547188, valid_mae 0.026886, valid_rmse 0.049908, valid_mape 232.459045, valid_acc 0.227939, test_loss 0.002937, ic 0.006032, icir 0.103225, ric -0.002515, ricir -0.042494, prec@10 0.543210, prec@30 0.534842, test_mae 0.022595, test_rmse 0.051565, test_mape 305.803192, test_acc 0.387205
Epoch 47, train_loss 0.001229, train_ic 0.034291, train_icir 0.469915, train_ric 0.003027, train_ricir 0.034684, train_mae 0.016869, train_rmse 0.023407, train_mape 115.221153, train_acc 0.361496, valid_loss 0.0017434386, valid_ic 0.004194, valid_icir 0.138960, valid_ric 0.001427, valid_ricir 0.028379, valid_prec@10 0.585185, valid_prec@30 0.566529, valid_mae 0.022509, valid_rmse 0.047034, valid_mape 173.010880, valid_acc 0.442953, test_loss 0.002820, ic 0.005254, icir 0.095373, ric -0.005358, ricir -0.112208, prec@10 0.558848, prec@30 0.547051, test_mae 0.020555, test_rmse 0.050191, test_mape 247.422577, test_acc 0.484396
Epoch 48, train_loss 0.001203, train_ic 0.040048, train_icir 0.406049, train_ric -0.013637, train_ricir -0.106025, train_mae 0.020391, train_rmse 0.030326, train_mape 350.229340, train_acc 0.582919, valid_loss 0.0020634528, valid_ic 0.013102, valid_icir 0.384165, valid_ric 0.001503, valid_ricir 0.016865, valid_prec@10 0.569959, valid_prec@30 0.557476, valid_mae 0.034921, valid_rmse 0.053750, valid_mape 355.832733, valid_acc 0.204822, test_loss 0.003125, ic 0.006632, icir 0.143860, ric -0.023391, ricir -0.285738, prec@10 0.532099, prec@30 0.527023, test_mae 0.029148, test_rmse 0.053825, test_mape 480.167328, test_acc 0.369148
Epoch 49, train_loss 0.001208, train_ic 0.044042, train_icir 0.576839, train_ric 0.026121, train_ricir 0.271084, train_mae 0.019711, train_rmse 0.027155, train_mape 169.294327, train_acc 0.240498, valid_loss 0.0017165836, valid_ic 0.005383, valid_icir 0.174437, valid_ric 0.010997, valid_ricir 0.155018, valid_prec@10 0.561728, valid_prec@30 0.552401, valid_mae 0.023630, valid_rmse 0.047036, valid_mape 188.848877, valid_acc 0.356948, test_loss 0.002761, ic 0.005991, icir 0.110256, ric 0.007638, ricir 0.113411, prec@10 0.512346, prec@30 0.528395, test_mae 0.020740, test_rmse 0.049574, test_mape 259.800201, test_acc 0.435577
Epoch 50, train_loss 0.001206, train_ic 0.027580, train_icir 0.287464, train_ric 0.010933, train_ricir 0.094214, train_mae 0.035978, train_rmse 0.042572, train_mape 209.325546, train_acc 0.090554, valid_loss 0.0019091178, valid_ic -0.000061, valid_icir -0.001207, valid_ric -0.001306, valid_ricir -0.010759, valid_prec@10 0.570782, valid_prec@30 0.530041, valid_mae 0.031379, valid_rmse 0.051868, valid_mape 299.281158, valid_acc 0.213025, test_loss 0.002952, ic 0.006356, icir 0.091771, ric 0.010211, ricir 0.086744, prec@10 0.534568, prec@30 0.535940, test_mae 0.027455, test_rmse 0.052908, test_mape 462.254700, test_acc 0.381409
Epoch 51, train_loss 0.001188, train_ic 0.039522, train_icir 0.454123, train_ric 0.035220, train_ricir 0.318883, train_mae 0.018548, train_rmse 0.025626, train_mape 254.443390, train_acc 0.353788, valid_loss 0.0017888960, valid_ic -0.000993, valid_icir -0.025199, valid_ric 0.012286, valid_ricir 0.125665, valid_prec@10 0.637449, valid_prec@30 0.592318, valid_mae 0.025695, valid_rmse 0.047746, valid_mape 221.837204, valid_acc 0.267214, test_loss 0.002773, ic 0.006091, icir 0.107282, ric 0.019562, ricir 0.211585, prec@10 0.553909, prec@30 0.565569, test_mae 0.022499, test_rmse 0.049781, test_mape 322.875153, test_acc 0.410834
Epoch 52, train_loss 0.001187, train_ic 0.035729, train_icir 0.420796, train_ric 0.001601, train_ricir 0.016262, train_mae 0.020650, train_rmse 0.028804, train_mape 183.610260, train_acc 0.502313, valid_loss 0.0017280210, valid_ic 0.004037, valid_icir 0.110505, valid_ric 0.000359, valid_ricir 0.005467, valid_prec@10 0.572428, valid_prec@30 0.544170, valid_mae 0.019118, valid_rmse 0.043781, valid_mape 189.870087, valid_acc 0.724087, test_loss 0.002716, ic 0.005263, icir 0.087280, ric -0.003557, ricir -0.056567, prec@10 0.543621, prec@30 0.536214, test_mae 0.021140, test_rmse 0.048408, test_mape 343.113983, test_acc 0.593848
Epoch 53, train_loss 0.001176, train_ic 0.052537, train_icir 0.581462, train_ric 0.011078, train_ricir 0.102316, train_mae 0.024753, train_rmse 0.035170, train_mape 132.792206, train_acc 0.528431, valid_loss 0.0016653714, valid_ic 0.012482, valid_icir 0.312881, valid_ric 0.003072, valid_ricir 0.040911, valid_prec@10 0.602058, valid_prec@30 0.563100, valid_mae 0.021915, valid_rmse 0.045041, valid_mape 179.020004, valid_acc 0.535670, test_loss 0.002640, ic 0.008053, icir 0.139171, ric -0.003511, ricir -0.049560, prec@10 0.554321, prec@30 0.545542, test_mae 0.020000, test_rmse 0.047913, test_mape 254.903366, test_acc 0.546366
Epoch 54, train_loss 0.001191, train_ic 0.036633, train_icir 0.412284, train_ric 0.023283, train_ricir 0.200984, train_mae 0.011721, train_rmse 0.019004, train_mape 211.757584, train_acc 0.541490, valid_loss 0.0016517269, valid_ic 0.008314, valid_icir 0.287029, valid_ric 0.019378, valid_ricir 0.170005, valid_prec@10 0.554321, valid_prec@30 0.540604, valid_mae 0.019036, valid_rmse 0.043065, valid_mape 177.443375, valid_acc 0.696744, test_loss 0.002620, ic 0.005061, icir 0.112519, ric -0.001544, ricir -0.014064, prec@10 0.522634, prec@30 0.509191, test_mae 0.020169, test_rmse 0.047369, test_mape 308.525024, test_acc 0.578689
Epoch 55, train_loss 0.001180, train_ic 0.046304, train_icir 0.509485, train_ric 0.004122, train_ricir 0.036696, train_mae 0.015343, train_rmse 0.025303, train_mape 129.573135, train_acc 0.475695, valid_loss 0.0016390978, valid_ic 0.006300, valid_icir 0.156899, valid_ric -0.006082, valid_ricir -0.061901, valid_prec@10 0.577778, valid_prec@30 0.560219, valid_mae 0.024480, valid_rmse 0.046035, valid_mape 196.154861, valid_acc 0.278151, test_loss 0.002590, ic 0.006821, icir 0.116477, ric -0.004557, ricir -0.050192, prec@10 0.534156, prec@30 0.535391, test_mae 0.020741, test_rmse 0.047868, test_mape 259.197937, test_acc 0.435577
Epoch 56, train_loss 0.001193, train_ic 0.032317, train_icir 0.450277, train_ric 0.018371, train_ricir 0.205343, train_mae 0.027846, train_rmse 0.033462, train_mape 224.077347, train_acc 0.216483, valid_loss 0.0017057607, valid_ic 0.003709, valid_icir 0.118543, valid_ric 0.006715, valid_ricir 0.092639, valid_prec@10 0.560494, valid_prec@30 0.530041, valid_mae 0.018668, valid_rmse 0.042240, valid_mape 200.635269, valid_acc 0.734278, test_loss 0.002634, ic 0.004782, icir 0.089987, ric 0.000903, ricir 0.014114, prec@10 0.541152, prec@30 0.526475, test_mae 0.021267, test_rmse 0.047099, test_mape 361.304504, test_acc 0.594293
Epoch 57, train_loss 0.001202, train_ic 0.042196, train_icir 0.532856, train_ric 0.016892, train_ricir 0.194834, train_mae 0.011743, train_rmse 0.019879, train_mape 121.825638, train_acc 0.482563, valid_loss 0.0015999169, valid_ic 0.003294, valid_icir 0.088139, valid_ric 0.003822, valid_ricir 0.051312, valid_prec@10 0.578601, valid_prec@30 0.557202, valid_mae 0.021737, valid_rmse 0.044278, valid_mape 161.928665, valid_acc 0.524484, test_loss 0.002515, ic 0.006495, icir 0.108318, ric 0.010129, ricir 0.129631, prec@10 0.554321, prec@30 0.551578, test_mae 0.019870, test_rmse 0.047000, test_mape 230.064972, test_acc 0.508025
Epoch 58, train_loss 0.001178, train_ic 0.016216, train_icir 0.243581, train_ric 0.025875, train_ricir 0.318882, train_mae 0.014098, train_rmse 0.022409, train_mape 209.698318, train_acc 0.700485, valid_loss 0.0018992199, valid_ic -0.000642, valid_icir -0.019267, valid_ric 0.011187, valid_ricir 0.180767, valid_prec@10 0.528807, valid_prec@30 0.514266, valid_mae 0.033841, valid_rmse 0.051329, valid_mape 344.824066, valid_acc 0.193637, test_loss 0.002812, ic 0.004161, icir 0.073750, ric 0.022582, ricir 0.377309, prec@10 0.492181, prec@30 0.493141, test_mae 0.029730, test_rmse 0.051937, test_mape 505.249023, test_acc 0.363130
Epoch 59, train_loss 0.001172, train_ic 0.041810, train_icir 0.511604, train_ric 0.038233, train_ricir 0.371645, train_mae 0.017634, train_rmse 0.028122, train_mape 131.947540, train_acc 0.530847, valid_loss 0.0015782462, valid_ic 0.005267, valid_icir 0.187894, valid_ric 0.019095, valid_ricir 0.239326, valid_prec@10 0.536626, valid_prec@30 0.524691, valid_mae 0.019998, valid_rmse 0.042450, valid_mape 163.201157, valid_acc 0.667661, test_loss 0.002473, ic 0.005100, icir 0.109450, ric 0.007983, ricir 0.109427, prec@10 0.518519, prec@30 0.505761, test_mae 0.019401, test_rmse 0.045920, test_mape 252.482422, test_acc 0.582479
Epoch 60, train_loss 0.001161, train_ic 0.044983, train_icir 0.579861, train_ric 0.033469, train_ricir 0.356368, train_mae 0.050428, train_rmse 0.059514, train_mape 105.347252, train_acc 0.530930, valid_loss 0.0015578195, valid_ic 0.007508, valid_icir 0.231646, valid_ric 0.019484, valid_ricir 0.270402, valid_prec@10 0.570370, valid_prec@30 0.553772, valid_mae 0.020872, valid_rmse 0.043095, valid_mape 159.332993, valid_acc 0.559284, test_loss 0.002443, ic 0.006417, icir 0.113278, ric 0.012043, ricir 0.177622, prec@10 0.524691, prec@30 0.527435, test_mae 0.019914, test_rmse 0.046197, test_mape 245.521729, test_acc 0.506687
Epoch 61, train_loss 0.001156, train_ic 0.023586, train_icir 0.307419, train_ric 0.043145, train_ricir 0.449999, train_mae 0.016543, train_rmse 0.025646, train_mape 169.951447, train_acc 0.601006, valid_loss 0.0018392867, valid_ic -0.010871, valid_icir -0.214413, valid_ric 0.011516, valid_ricir 0.116750, valid_prec@10 0.645679, valid_prec@30 0.593278, valid_mae 0.021643, valid_rmse 0.043607, valid_mape 194.356674, valid_acc 0.688541, test_loss 0.002607, ic 0.004111, icir 0.065531, ric 0.029046, ricir 0.304936, prec@10 0.594650, prec@30 0.587654, test_mae 0.020783, test_rmse 0.046123, test_mape 295.301636, test_acc 0.583148
Epoch 62, train_loss 0.001167, train_ic 0.014092, train_icir 0.174059, train_ric 0.045034, train_ricir 0.431502, train_mae 0.015452, train_rmse 0.020775, train_mape 223.026443, train_acc 0.377004, valid_loss 0.0016649916, valid_ic -0.003883, valid_icir -0.090723, valid_ric 0.016278, valid_ricir 0.185961, valid_prec@10 0.482716, valid_prec@30 0.474074, valid_mae 0.020151, valid_rmse 0.041836, valid_mape 203.375168, valid_acc 0.682575, test_loss 0.002506, ic 0.004045, icir 0.068708, ric 0.034045, ricir 0.377833, prec@10 0.500823, prec@30 0.487654, test_mae 0.020789, test_rmse 0.045595, test_mape 321.130585, test_acc 0.579581
Epoch 63, train_loss 0.001161, train_ic 0.027043, train_icir 0.281520, train_ric 0.019424, train_ricir 0.163593, train_mae 0.021054, train_rmse 0.025830, train_mape 417.306458, train_acc 0.591735, valid_loss 0.0021464013, valid_ic -0.006188, valid_icir -0.111189, valid_ric -0.001431, valid_ricir -0.011112, valid_prec@10 0.664198, valid_prec@30 0.596982, valid_mae 0.023885, valid_rmse 0.043781, valid_mape 319.274841, valid_acc 0.738006, test_loss 0.002915, ic 0.005623, icir 0.084470, ric 0.016825, ricir 0.138945, prec@10 0.590535, prec@30 0.589575, test_mae 0.027177, test_rmse 0.048117, test_mape 539.413452, test_acc 0.592287
Epoch 64, train_loss 0.001178, train_ic 0.022145, train_icir 0.332776, train_ric 0.028302, train_ricir 0.354315, train_mae 0.014468, train_rmse 0.021594, train_mape 154.410782, train_acc 0.484317, valid_loss 0.0015475686, valid_ic -0.000482, valid_icir -0.015131, valid_ric 0.008828, valid_ricir 0.141107, valid_prec@10 0.556790, valid_prec@30 0.531276, valid_mae 0.019793, valid_rmse 0.041435, valid_mape 152.848831, valid_acc 0.669898, test_loss 0.002374, ic 0.004721, icir 0.091472, ric 0.025146, ricir 0.432559, prec@10 0.527160, prec@30 0.519204, test_mae 0.019415, test_rmse 0.044939, test_mape 256.463684, test_acc 0.577575
Epoch 65, train_loss 0.001164, train_ic 0.041401, train_icir 0.609938, train_ric 0.028503, train_ricir 0.401784, train_mae 0.032491, train_rmse 0.042630, train_mape 124.902390, train_acc 0.216525, valid_loss 0.0015290297, valid_ic 0.003132, valid_icir 0.107171, valid_ric 0.009917, valid_ricir 0.232535, valid_prec@10 0.563786, valid_prec@30 0.552675, valid_mae 0.019669, valid_rmse 0.041325, valid_mape 150.869644, valid_acc 0.679095, test_loss 0.002346, ic 0.005298, icir 0.105437, ric 0.011036, ricir 0.300038, prec@10 0.543210, prec@30 0.527572, test_mae 0.019353, test_rmse 0.044771, test_mape 236.415359, test_acc 0.574231
Epoch 66, train_loss 0.001175, train_ic 0.034008, train_icir 0.358510, train_ric 0.003306, train_ricir 0.028429, train_mae 0.015863, train_rmse 0.021441, train_mape 104.752861, train_acc 0.802862, valid_loss 0.0016457850, valid_ic 0.014531, valid_icir 0.343635, valid_ric 0.004119, valid_ricir 0.034407, valid_prec@10 0.579012, valid_prec@30 0.556927, valid_mae 0.028617, valid_rmse 0.045954, valid_mape 258.689331, valid_acc 0.254536, test_loss 0.002458, ic 0.006236, icir 0.173709, ric -0.015590, ricir -0.139581, prec@10 0.517284, prec@30 0.531687, test_mae 0.023971, test_rmse 0.046823, test_mape 316.744843, test_acc 0.380294
Epoch 67, train_loss 0.001157, train_ic 0.047357, train_icir 0.604310, train_ric 0.023291, train_ricir 0.235964, train_mae 0.026655, train_rmse 0.036610, train_mape 4799.494629, train_acc 0.579606, valid_loss 0.0015792175, valid_ic 0.010275, valid_icir 0.277191, valid_ric 0.009593, valid_ricir 0.134721, valid_prec@10 0.593004, valid_prec@30 0.559945, valid_mae 0.019407, valid_rmse 0.041117, valid_mape 177.039124, valid_acc 0.707184, test_loss 0.002410, ic 0.007209, icir 0.121236, ric 0.000650, ricir 0.010805, prec@10 0.541975, prec@30 0.540466, test_mae 0.020900, test_rmse 0.045301, test_mape 332.752655, test_acc 0.584931
Epoch 68, train_loss 0.001148, train_ic 0.025313, train_icir 0.262228, train_ric -0.005827, train_ricir -0.048331, train_mae 0.016860, train_rmse 0.025245, train_mape 137.160797, train_acc 0.425057, valid_loss 0.0015403298, valid_ic 0.011195, valid_icir 0.268701, valid_ric 0.001746, valid_ricir 0.014551, valid_prec@10 0.571605, valid_prec@30 0.551029, valid_mae 0.022375, valid_rmse 0.042394, valid_mape 180.205139, valid_acc 0.517524, test_loss 0.002331, ic 0.004873, icir 0.116442, ric -0.015110, ricir -0.141861, prec@10 0.512346, prec@30 0.512757, test_mae 0.020945, test_rmse 0.044986, test_mape 259.736298, test_acc 0.451181
Epoch 69, train_loss 0.001170, train_ic 0.051963, train_icir 0.576044, train_ric 0.012523, train_ricir 0.114946, train_mae 0.027553, train_rmse 0.033785, train_mape 107.717072, train_acc 0.573136, valid_loss 0.0014901798, valid_ic 0.016213, valid_icir 0.489136, valid_ric 0.009782, valid_ricir 0.131869, valid_prec@10 0.587243, valid_prec@30 0.563237, valid_mae 0.019490, valid_rmse 0.040125, valid_mape 162.047562, valid_acc 0.673875, test_loss 0.002276, ic 0.008454, icir 0.181818, ric -0.006339, ricir -0.087758, prec@10 0.550206, prec@30 0.536214, test_mae 0.019494, test_rmse 0.043695, test_mape 271.614563, test_acc 0.582702
Epoch 70, train_loss 0.001159, train_ic 0.032862, train_icir 0.415749, train_ric 0.041424, train_ricir 0.445860, train_mae 0.023761, train_rmse 0.030130, train_mape 12101.062500, train_acc 0.366769, valid_loss 0.0016983310, valid_ic 0.003974, valid_icir 0.112519, valid_ric 0.019633, valid_ricir 0.258847, valid_prec@10 0.520988, valid_prec@30 0.508779, valid_mae 0.020190, valid_rmse 0.039548, valid_mape 257.775543, valid_acc 0.750186, test_loss 0.002462, ic 0.005423, icir 0.098983, ric 0.025436, ricir 0.326592, prec@10 0.491358, prec@30 0.506584, test_mae 0.023420, test_rmse 0.044657, test_mape 433.995911, test_acc 0.593848
Epoch 71, train_loss 0.001143, train_ic 0.042136, train_icir 0.548869, train_ric 0.004628, train_ricir 0.052215, train_mae 0.016784, train_rmse 0.025515, train_mape 243.640869, train_acc 0.351160, valid_loss 0.0015239193, valid_ic 0.010700, valid_icir 0.317832, valid_ric 0.000516, valid_ricir 0.008470, valid_prec@10 0.568313, valid_prec@30 0.558162, valid_mae 0.018768, valid_rmse 0.039442, valid_mape 171.107086, valid_acc 0.718121, test_loss 0.002292, ic 0.006548, icir 0.137853, ric -0.004358, ricir -0.092428, prec@10 0.512346, prec@30 0.518519, test_mae 0.020176, test_rmse 0.043571, test_mape 315.212524, test_acc 0.591841
Epoch 72, train_loss 0.001141, train_ic 0.035391, train_icir 0.525806, train_ric 0.029716, train_ricir 0.417517, train_mae 0.015893, train_rmse 0.022290, train_mape 119.118706, train_acc 0.534629, valid_loss 0.0014505764, valid_ic 0.003946, valid_icir 0.149795, valid_ric 0.012518, valid_ricir 0.259019, valid_prec@10 0.545679, valid_prec@30 0.539506, valid_mae 0.021142, valid_rmse 0.040859, valid_mape 149.258575, valid_acc 0.489933, test_loss 0.002206, ic 0.005964, icir 0.134563, ric 0.018004, ricir 0.427439, prec@10 0.503292, prec@30 0.518656, test_mae 0.019661, test_rmse 0.043515, test_mape 225.745911, test_acc 0.450736
Epoch 73, train_loss 0.001130, train_ic 0.047074, train_icir 0.474285, train_ric 0.029127, train_ricir 0.247947, train_mae 0.029520, train_rmse 0.041537, train_mape 207.411362, train_acc 0.252696, valid_loss 0.0016048191, valid_ic 0.007274, valid_icir 0.156120, valid_ric 0.011560, valid_ricir 0.111422, valid_prec@10 0.571193, valid_prec@30 0.555967, valid_mae 0.028996, valid_rmse 0.046074, valid_mape 258.511505, valid_acc 0.201591, test_loss 0.002359, ic 0.007547, icir 0.118174, ric 0.012918, ricir 0.121236, prec@10 0.537860, prec@30 0.536626, test_mae 0.024218, test_rmse 0.046091, test_mape 362.152649, test_acc 0.369594
Epoch 74, train_loss 0.001141, train_ic 0.044013, train_icir 0.575096, train_ric 0.035251, train_ricir 0.378170, train_mae 0.019058, train_rmse 0.025458, train_mape 186.650909, train_acc 0.307851, valid_loss 0.0014439313, valid_ic 0.011383, valid_icir 0.369855, valid_ric 0.017286, valid_ricir 0.180171, valid_prec@10 0.567078, valid_prec@30 0.551166, valid_mae 0.019127, valid_rmse 0.039200, valid_mape 144.960632, valid_acc 0.675615, test_loss 0.002178, ic 0.007368, icir 0.166400, ric 0.013528, ricir 0.160364, prec@10 0.521811, prec@30 0.520165, test_mae 0.019072, test_rmse 0.042657, test_mape 240.614105, test_acc 0.584485
Epoch 75, train_loss 0.001132, train_ic 0.031692, train_icir 0.401693, train_ric 0.026343, train_ricir 0.285606, train_mae 0.017945, train_rmse 0.023132, train_mape 325.391632, train_acc 0.348442, valid_loss 0.0016584412, valid_ic 0.000628, valid_icir 0.016156, valid_ric 0.002305, valid_ricir 0.032843, valid_prec@10 0.560905, valid_prec@30 0.530864, valid_mae 0.032736, valid_rmse 0.048007, valid_mape 319.940308, valid_acc 0.192145, test_loss 0.002385, ic 0.005696, icir 0.097569, ric 0.020863, ricir 0.286749, prec@10 0.531687, prec@30 0.528395, test_mae 0.026926, test_rmse 0.047282, test_mape 430.641998, test_acc 0.363576
Epoch 76, train_loss 0.001146, train_ic 0.026361, train_icir 0.352213, train_ric 0.024386, train_ricir 0.281607, train_mae 0.015017, train_rmse 0.020552, train_mape 248.970505, train_acc 0.201689, valid_loss 0.0015957948, valid_ic -0.006506, valid_icir -0.162167, valid_ric 0.003899, valid_ricir 0.054725, valid_prec@10 0.656790, valid_prec@30 0.594376, valid_mae 0.026042, valid_rmse 0.043643, valid_mape 208.561157, valid_acc 0.218991, test_loss 0.002253, ic 0.004622, icir 0.087995, ric 0.020996, ricir 0.351716, prec@10 0.577366, prec@30 0.586283, test_mae 0.021845, test_rmse 0.044200, test_mape 277.899109, test_acc 0.379180
Epoch 77, train_loss 0.001134, train_ic 0.044036, train_icir 0.541618, train_ric 0.052270, train_ricir 0.535360, train_mae 0.021502, train_rmse 0.027524, train_mape 116.537079, train_acc 0.368295, valid_loss 0.0014177928, valid_ic 0.002761, valid_icir 0.071879, valid_ric 0.018555, valid_ricir 0.217145, valid_prec@10 0.567078, valid_prec@30 0.539643, valid_mae 0.021475, valid_rmse 0.040562, valid_mape 151.730972, valid_acc 0.490181, test_loss 0.002123, ic 0.006579, icir 0.114805, ric 0.033997, ricir 0.359007, prec@10 0.531276, prec@30 0.530041, test_mae 0.019516, test_rmse 0.042841, test_mape 213.840530, test_acc 0.495988
Epoch 78, train_loss 0.001132, train_ic 0.046708, train_icir 0.475897, train_ric 0.000845, train_ricir 0.007050, train_mae 0.014695, train_rmse 0.023037, train_mape 173.855255, train_acc 0.435816, valid_loss 0.0014885896, valid_ic 0.017941, valid_icir 0.404038, valid_ric 0.000219, valid_ricir 0.002191, valid_prec@10 0.594239, valid_prec@30 0.562963, valid_mae 0.026419, valid_rmse 0.043341, valid_mape 212.664795, valid_acc 0.262242, test_loss 0.002190, ic 0.010161, icir 0.205896, ric -0.005208, ricir -0.059525, prec@10 0.539918, prec@30 0.539232, test_mae 0.021183, test_rmse 0.043555, test_mape 267.948303, test_acc 0.411057
Epoch 79, train_loss 0.001108, train_ic 0.046850, train_icir 0.611997, train_ric 0.040499, train_ricir 0.474633, train_mae 0.015934, train_rmse 0.023097, train_mape 118.198524, train_acc 0.528126, valid_loss 0.0014051354, valid_ic 0.008363, valid_icir 0.289685, valid_ric 0.019069, valid_ricir 0.312133, valid_prec@10 0.567901, valid_prec@30 0.550069, valid_mae 0.023103, valid_rmse 0.040969, valid_mape 170.751526, valid_acc 0.310713, test_loss 0.002096, ic 0.007636, icir 0.157817, ric 0.022144, ricir 0.355013, prec@10 0.517695, prec@30 0.528532, test_mae 0.020034, test_rmse 0.042586, test_mape 228.511902, test_acc 0.424877
Epoch 80, train_loss 0.001131, train_ic 0.029797, train_icir 0.353870, train_ric 0.035387, train_ricir 0.372825, train_mae 0.021615, train_rmse 0.030709, train_mape 159.082443, train_acc 0.416690, valid_loss 0.0018565796, valid_ic -0.009581, valid_icir -0.168420, valid_ric 0.006109, valid_ricir 0.061351, valid_prec@10 0.653498, valid_prec@30 0.593690, valid_mae 0.022080, valid_rmse 0.042996, valid_mape 178.015198, valid_acc 0.669650, test_loss 0.002412, ic 0.005993, icir 0.081158, ric 0.027820, ricir 0.240867, prec@10 0.594239, prec@30 0.589300, test_mae 0.020636, test_rmse 0.043896, test_mape 272.345398, test_acc 0.565314
Epoch 81, train_loss 0.001138, train_ic 0.031183, train_icir 0.326188, train_ric 0.034404, train_ricir 0.287693, train_mae 0.014040, train_rmse 0.019707, train_mape 210.500519, train_acc 0.465745, valid_loss 0.0015186317, valid_ic -0.001537, valid_icir -0.032591, valid_ric 0.009215, valid_ricir 0.076951, valid_prec@10 0.593827, valid_prec@30 0.588340, valid_mae 0.020910, valid_rmse 0.039142, valid_mape 176.917892, valid_acc 0.638081, test_loss 0.002173, ic 0.007030, icir 0.129231, ric 0.026973, ricir 0.248639, prec@10 0.516872, prec@30 0.535254, test_mae 0.020298, test_rmse 0.042066, test_mape 287.226562, test_acc 0.563754
